OWNER,DAY,ADDR,ADDR_DETAIL,LAT,LON,PERSONNEL,FIELD_NAME,Teaching field name,Teaching course list name,Teaching course name,Tuition
에스티엔외국어학원,20060616,대구광역시 달서구 당산로 94,  7층~6층 일부 (성당동),35.84583868,128.544689,16,국제화,외국어,,실용외국어(유아/초·중·고),
에스티엘영어학원,20050902,대구광역시 동구 팔공로101길 39,  3층 (지묘동),35.94187094,128.6431589,50,국제화,외국어,,실용외국어(유아/초·중·고),
에스티제이(STJ)수학교습소,20220314,대구광역시 북구 옥산로17길 50,/ 상가 2층 1호 (침산동/ 침산제일아파트),35.88832198,128.5866884,12,입시.검정 및 보습,보통교과,수학(초),보습,수학(초):190000/ 수학(중):230000/ 수학(고):330000
에스프리음악학원,19900419,대구광역시 남구 명덕로 228-17,  2층 (이천동),35.85609891,128.5954603,9,예능(대),예능(중),,음악,
에스피영어학원,20220104,대구광역시 수성구 달구벌대로650길 91,/ 5층 (욱수동),35.83044433,128.7082024,250,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),
에쓰엠해법수학교습소,20180308,대구광역시 동구 신암로16길 17,/ 상가 113동 2층 1호 (신천동/ 가람타운),35.87781012,128.6102122,45,입시.검정 및 보습,보통교과,초등,보습,초등:160000/ 중등:200000/ 고등:280000/ 중등(주말포함):280000/ 고등(주말포함):380000
에이닷영어학원,20201202,대구광역시 달서구 이곡공원로 32,/ 6층 일부 (이곡동),35.85496142,128.5109947,840,입시.검정 및 보습,보통교과,보습/,보습,
에이블(ABLE)어학원,20150521,대구광역시 동구 팔공로51길 33,/ A-504호 (봉무동),35.9228469,128.6371336,80,국제화,외국어,,실용외국어(유아/초·중·고),
에이블(ABLE)영어학원,20211029,대구광역시 수성구 들안로 288,/ 4층 (수성동3가),35.85565385,128.6175502,70,입시.검정 및 보습,보통교과,,보습,
에이블독서실,20090907,대구광역시 수성구 달구벌대로 3165,  2층 (매호동),35.84158339,128.7034973,465,독서실,독서실,독서실(유아/초·중·고)/,독서실(유아/초·중·고),
에이블수학수학교습소,20180423,대구광역시 북구 산격로 99,/ 2층 (산격동),35.89888041,128.6073828,18,입시.검정 및 보습,보통교과,,보습,
에이블수학학원,20191028,대구광역시 동구 팔공로51길 33,/ 603호 (봉무동),35.9228469,128.6371336,120,입시.검정 및 보습,보통교과,,보습,
에이블어학원,20041221,대구광역시 달서구 달구벌대로259길 33,  제일빌딩7층 (이곡동),35.85449953,128.5094195,120,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),
에이블엠엔이(M&E)학원,20100522,대구광역시 달서구 한실로 89,/ 5층 일부 (도원동),35.80704787,128.5364298,52,입시.검정 및 보습,보통교과,,보습,
에이블연기뮤지컬아르떼스피치학원,20181231,대구광역시 중구 봉산문화길 10,/ 2층 (봉산동),35.86065174,128.5986274,38,기타(대),기타(중),연극/,연극,
에이블영수학원,20120403,대구광역시 달서구 조암남로 52,/ 2층 일부/서편 (월성동),35.82137666,128.5271823,88,입시.검정 및 보습,보통교과,보습/,보습,
에이블영어교습소,20170116,대구광역시 동구 공항로52길 28,/ 상가 106동 6호 (지저동/ 제림햇빛촌아파트),35.89354896,128.6389614,24,입시.검정 및 보습,보통교과,,보습,
에이블영어교습소,20161017,대구광역시 수성구 들안로73길 31,/ 3층 전체 (수성동4가),35.86361131,128.6161623,12,입시.검정 및 보습,보통교과,,보습,
에이블영어학원,20211006,대구광역시 달성군 다사읍 서재로 99-1,/ 2층 (다사읍),35.87245133,128.4971468,18,입시.검정 및 보습,보통교과,보습/,보습,
에이블영어학원,20190905,대구광역시 북구 복현로 105,/ 2층 (복현동/ 태왕아너스복현),35.89922043,128.6202954,192,입시.검정 및 보습,보통교과,보습/,보습,
에이스바둑학원,20141107,대구광역시 달서구 월배로11길 2,/ 3층 (진천동),35.81413377,128.5207886,150,기타(대),기타(중),바둑/,바둑,
에이스영어교습소,20210121,대구광역시 북구 동화천로 245,/ 5층 503호 (연경동),35.94265421,128.6179103,18,입시.검정 및 보습,보통교과,,보습,
에이스영어교습소,20140818,대구광역시 수성구 용학로 336,/ 상가 1층 8호 (범물동/ 범물시영1단지아파트),35.82376032,128.6434066,40,입시.검정 및 보습,보통교과,초등,보습,초등:250000/ 중등1:300000/ 중등2/3:350000/ 고등1:400000/ 고등2/3:500000
에이스오투독서실,20080423,대구광역시 서구 국채보상로 267,6/7층 (평리동),35.87170414,128.5601849,200,독서실,독서실,독서실(유아/초·중·고)/,독서실(유아/초·중·고),
에이스입시학원,20120131,대구광역시 수성구 수성로 149,/ 2층/ 4층 (중동),35.83884811,128.6117838,123,입시.검정 및 보습,보통교과,보습/,보습,
에이스학원,20101117,대구광역시 남구 효성로 58,/ 3층 (봉덕동),35.83838713,128.5989747,90,입시.검정 및 보습,보통교과,보습/,보습,
에이앤제이(A&J)미국원어민영어학원,20220117,대구광역시 달서구 상화로 300-13,/ 2층 일부 (도원동/ 하나빌딩),35.80762694,128.5467018,36,입시.검정 및 보습,보통교과,보습/,보습,
에이엘에스아리수봉덕캠퍼스학원,20160311,대구광역시 남구 효성중앙길 68,/ 2층(봉덕동) (봉덕동),35.8363832,128.6038652,90,입시.검정 및 보습,보통교과,보습/,보습,
에이엘에스아리수학원,20090102,대구광역시 남구 효성로 52,  3층 (봉덕동),35.83798618,128.5990466,80,입시.검정 및 보습,보통교과,보습/,보습,
에이원수학학원,20160129,대구광역시 북구 호국로43길 8-30,/ 2층 (서변동),35.92250941,128.5986333,212,입시.검정 및 보습,보통교과,보습/,보습,
에이치매쓰(H-Math)수학교습소,20211019,대구광역시 수성구 달구벌대로496길 19-3,/ 2층 (범어동),35.8569482,128.6344153,12,입시.검정 및 보습,보통교과,,보습,
에이치엠수학교습소,20180323,대구광역시 달서구 장기로 242-11,/ 1층 일부 (장기동),35.84413191,128.5330211,12,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):160000/ 수학(중등):200000
